account_id,customer_id,product_type,original_balance,current_balance,interest_rate_band,fees_accrued,days_past_due,loan_tenure_months,legal_stage,region_id
A10001,C0001,Credit Card,364076,112170,Medium,1420,30,36,Pre-Legal,R01
A10002,C0002,Credit Card,418008,464198,Low,16751,240,60,Pre-Legal,R02
A10003,C0003,Personal Loan,347891,466067,High,7527,60,60,Pre-Legal,R01
A10004,C0003,Credit Card,117247,194965,Low,11554,60,24,Pre-Legal,R02
A10005,C0004,Credit Card,430609,442534,Low,15666,60,12,Legal,R02
A10006,C0005,Telecom,318073,339036,Low,9715,30,60,Legal,R02
A10007,C0006,Credit Card,109876,39976,Medium,2733,120,48,Pre-Legal,R01
A10008,C0007,Personal Loan,355510,467333,Low,16347,60,12,Charged-Off,R02
A10009,C0008,Credit Card,61954,366863,Medium,1095,120,24,Pre-Legal,R01
A10010,C0009,Personal Loan,45020,450964,Medium,12644,30,36,Pre-Legal,R02
A10011,C0010,Credit Card,294097,121410,Medium,10500,30,36,Legal,R02
A10012,C0011,Personal Loan,68037,107115,High,13780,180,60,Pre-Legal,R02
A10013,C0012,Personal Loan,291480,342565,Medium,4282,60,24,Pre-Legal,R03
A10014,C0013,Credit Card,247600,195109,Medium,4013,30,60,Pre-Legal,R03
A10015,C0013,Credit Card,313151,465163,Medium,22917,240,12,Legal,R02
A10016,C0014,Credit Card,399739,67066,Medium,16638,180,48,Legal,R03
A10017,C0015,Credit Card,145604,377958,High,20574,30,24,Legal,R02
A10018,C0016,Personal Loan,312441,58890,Medium,10219,240,60,Pre-Legal,R02
A10019,C0016,Credit Card,249937,35365,Medium,9596,240,48,Pre-Legal,R01
A10020,C0017,Personal Loan,192106,15294,Low,11934,240,60,Pre-Legal,R02
A10021,C0018,Telecom,144891,269797,Medium,21350,120,60,Pre-Legal,R01
A10022,C0019,Credit Card,47472,74946,Low,2041,120,36,Legal,R01
A10023,C0020,Personal Loan,285116,164328,Medium,19153,240,48,Pre-Legal,R02
A10024,C0021,Credit Card,489847,203644,Low,1813,240,36,Legal,R01
A10025,C0022,Credit Card,480138,68915,Medium,7354,60,24,Pre-Legal,R02
A10026,C0022,Credit Card,460924,143041,Low,4293,60,48,Pre-Legal,R02
A10027,C0023,Personal Loan,27642,94971,High,5924,60,24,Pre-Legal,R02
A10028,C0023,Credit Card,219591,333555,High,14682,30,60,Pre-Legal,R02
A10029,C0024,Credit Card,332326,388403,Low,13663,30,24,Charged-Off,R03
A10030,C0024,Personal Loan,404906,220671,High,2224,60,24,Pre-Legal,R02
A10031,C0025,Credit Card,78408,183751,Low,1292,180,48,Pre-Legal,R03
A10032,C0026,Credit Card,83079,36577,Medium,15846,30,48,Legal,R03
A10033,C0027,Telecom,407410,430517,Medium,6488,240,36,Charged-Off,R02
A10034,C0027,Telecom,43290,389695,High,878,60,12,Legal,R01
A10035,C0028,Personal Loan,98006,261471,Low,15279,120,48,Pre-Legal,R01
A10036,C0029,Personal Loan,476938,169099,Low,14363,30,12,Pre-Legal,R01
A10037,C0030,Credit Card,407158,145466,High,24514,60,48,Legal,R03
A10038,C0031,Credit Card,323255,113273,Medium,12414,180,36,Legal,R02
A10039,C0032,Credit Card,414458,383987,Medium,7746,180,12,Legal,R02
A10040,C0033,Credit Card,264744,115128,High,4560,120,24,Legal,R02
A10041,C0034,Personal Loan,50348,424664,Low,23266,30,24,Legal,R01
A10042,C0035,Personal Loan,438712,269640,Low,13822,60,48,Pre-Legal,R02
A10043,C0036,Credit Card,42912,95771,High,1279,60,60,Legal,R02
A10044,C0037,Credit Card,393839,182558,Low,9534,120,24,Legal,R03
A10045,C0037,Credit Card,469542,242967,Low,4826,240,24,Pre-Legal,R01
A10046,C0038,Credit Card,336790,358331,High,24479,60,60,Legal,R02
A10047,C0038,Personal Loan,368058,196902,Low,17346,30,24,Legal,R01
A10048,C0039,Personal Loan,428845,73008,Low,11360,180,24,Legal,R01
A10049,C0040,Personal Loan,398226,334586,High,23866,120,36,Charged-Off,R03
A10050,C0041,Personal Loan,52125,244767,Medium,3150,120,12,Charged-Off,R02
A10051,C0042,Credit Card,240566,213139,High,21860,120,60,Pre-Legal,R01
A10052,C0043,Personal Loan,159143,68413,Medium,3408,240,24,Pre-Legal,R03
A10053,C0044,Credit Card,499145,263495,Medium,14668,180,24,Legal,R03
A10054,C0045,Personal Loan,201565,133724,High,14203,180,24,Pre-Legal,R03
A10055,C0046,Telecom,258411,417932,High,14830,120,12,Charged-Off,R01
A10056,C0046,Personal Loan,289357,139693,Low,3335,30,60,Pre-Legal,R03
A10057,C0047,Credit Card,357530,239309,Medium,10981,240,12,Pre-Legal,R03
A10058,C0048,Credit Card,331256,157012,Medium,24985,120,12,Pre-Legal,R02
A10059,C0048,Telecom,461737,258554,High,4485,180,36,Pre-Legal,R03
A10060,C0049,Personal Loan,353471,203297,Medium,17721,240,24,Legal,R01
A10061,C0049,Credit Card,456149,455523,Low,10502,120,60,Legal,R03
A10062,C0050,Credit Card,330511,290345,Medium,10010,30,12,Legal,R02
A10063,C0050,Personal Loan,235862,223000,Medium,17176,180,12,Pre-Legal,R02
A10064,C0051,Credit Card,481024,392721,High,3900,30,48,Legal,R01
A10065,C0051,Credit Card,321033,328572,Low,17987,180,24,Legal,R03
A10066,C0052,Personal Loan,207934,303102,High,10586,120,60,Legal,R03
A10067,C0052,Credit Card,130160,161836,Low,4102,30,60,Legal,R01
A10068,C0053,Telecom,299100,448689,Low,1114,180,36,Legal,R03
A10069,C0053,Personal Loan,120025,425949,High,21144,60,12,Pre-Legal,R03
A10070,C0054,Credit Card,330281,228083,High,23476,120,48,Pre-Legal,R03
A10071,C0055,Personal Loan,344058,78888,Low,17488,60,24,Pre-Legal,R02
A10072,C0055,Personal Loan,208929,151694,Medium,2199,180,60,Pre-Legal,R01
A10073,C0056,Personal Loan,371910,37995,Medium,17963,180,60,Charged-Off,R02
A10074,C0057,Credit Card,54523,212127,Medium,12236,120,24,Legal,R02
A10075,C0057,Personal Loan,129101,414472,Medium,9280,180,36,Pre-Legal,R03
A10076,C0058,Credit Card,41182,316517,Low,16543,240,12,Pre-Legal,R01
A10077,C0059,Credit Card,450282,413968,Medium,1853,30,48,Charged-Off,R03
A10078,C0060,Credit Card,440088,56708,Low,21300,30,12,Pre-Legal,R01
A10079,C0061,Credit Card,183543,324423,Medium,21945,120,24,Legal,R02
A10080,C0062,Telecom,51498,340899,Medium,17434,60,48,Pre-Legal,R01
