signal_id,account_id,customer_id,past_payment_frequency,avg_payment_percent,broken_promises_count,last_contact_outcome,last_call_sentiment,digital_engagement_score,response_latency_days
S00001,A10001,C0001,Regular,5.19,1,Connected,Neutral,38,4
S00002,A10002,C0002,Regular,5.25,5,No Answer,Distressed,62,1
S00003,A10003,C0003,Irregular,8.96,0,Connected,Angry,27,3
S00004,A10004,C0003,Irregular,5.16,4,Connected,Angry,91,6
S00005,A10005,C0004,Regular,2.84,3,No Answer,Cooperative,45,5
S00006,A10006,C0005,Regular,0.76,6,No Answer,Distressed,74,5
S00007,A10007,C0006,None,9.32,3,No Answer,Neutral,38,4
S00008,A10008,C0007,Regular,9.84,2,Connected,Neutral,21,3
S00009,A10009,C0008,None,0.74,0,Connected,Angry,62,19
S00010,A10010,C0009,Irregular,7.19,3,No Answer,Cooperative,86,2
S00011,A10011,C0010,Regular,2.96,5,Connected,Cooperative,63,12
S00012,A10012,C0011,None,9.51,6,Connected,Cooperative,37,2
S00013,A10013,C0012,None,7.72,1,Connected,Angry,98,12
S00014,A10014,C0013,None,5.95,5,Connected,Neutral,53,0
S00015,A10015,C0013,Irregular,4.12,2,Connected,Neutral,35,15
S00016,A10016,C0014,Regular,4.33,1,Refused,Neutral,31,5
S00017,A10017,C0015,Irregular,8.57,0,Refused,Angry,58,12
S00018,A10018,C0016,Irregular,3.4,6,Connected,Distressed,23,15
S00019,A10019,C0016,Irregular,4.24,1,Refused,Angry,51,2
S00020,A10020,C0017,Irregular,8.96,6,Refused,Cooperative,64,3
S00021,A10021,C0018,Irregular,0.78,6,Connected,Neutral,56,10
S00022,A10022,C0019,Irregular,4.11,0,No Answer,Distressed,70,13
S00023,A10023,C0020,Irregular,2.74,0,Refused,Angry,48,1
S00024,A10024,C0021,Irregular,1.55,5,Refused,Neutral,47,10
S00025,A10025,C0022,Regular,8.82,5,Refused,Cooperative,97,3
S00026,A10026,C0022,None,5.71,3,Refused,Neutral,43,18
S00027,A10027,C0023,None,0.84,5,No Answer,Cooperative,24,18
S00028,A10028,C0023,Regular,5.89,3,Refused,Distressed,98,15
S00029,A10029,C0024,None,0.99,0,Refused,Neutral,34,9
S00030,A10030,C0024,Irregular,8.29,0,Refused,Angry,59,8
S00031,A10031,C0025,Irregular,1.2,5,Connected,Distressed,37,14
S00032,A10032,C0026,Irregular,9.66,1,Refused,Neutral,68,5
S00033,A10033,C0027,Irregular,9.08,3,No Answer,Cooperative,14,0
S00034,A10034,C0027,None,3.24,4,No Answer,Angry,62,17
S00035,A10035,C0028,None,3.17,6,Refused,Neutral,35,18
S00036,A10036,C0029,Irregular,3.23,5,No Answer,Angry,53,14
S00037,A10037,C0030,Regular,5.91,0,Refused,Neutral,41,9
S00038,A10038,C0031,Regular,2.01,3,No Answer,Cooperative,65,3
S00039,A10039,C0032,None,8.9,3,Refused,Cooperative,34,15
S00040,A10040,C0033,None,8.2,6,Connected,Neutral,65,3
S00041,A10041,C0034,Irregular,5.6,0,Refused,Neutral,19,18
S00042,A10042,C0035,Regular,9.75,1,Connected,Neutral,19,6
S00043,A10043,C0036,Regular,4.52,2,No Answer,Cooperative,76,14
S00044,A10044,C0037,Irregular,1.49,5,No Answer,Neutral,95,1
S00045,A10045,C0037,None,5.8,1,Refused,Distressed,52,18
S00046,A10046,C0038,Regular,4.61,1,Connected,Neutral,53,14
S00047,A10047,C0038,Regular,8.3,2,No Answer,Angry,67,7
S00048,A10048,C0039,Irregular,3.35,0,Connected,Distressed,15,14
S00049,A10049,C0040,Irregular,4.78,1,Connected,Cooperative,61,11
S00050,A10050,C0041,None,8.9,3,No Answer,Neutral,17,9
