customer_id,age_band,income_band,employment_status,residential_type,region_type,vulnerability_flag,dataset_split
C0001,25-40,Low,Salaried,Rented,Semi-Urban,No,Train
C0002,60+,Medium,Salaried,Rented,Rural,No,Train
C0003,40-60,High,Retired,Owned,Semi-Urban,No,Train
C0004,40-60,Medium,Salaried,Rented,Urban,No,Train
C0005,25-40,High,Salaried,Rented,Urban,No,Train
C0006,25-40,Medium,Unemployed,Family,Urban,Yes,Train
C0007,<25,Medium,Salaried,Family,Urban,No,Train
C0008,60+,High,Unemployed,Owned,Urban,No,Train
C0009,40-60,Low,Salaried,Rented,Semi-Urban,No,Train
C0010,40-60,Medium,Self-Employed,Owned,Urban,No,Train
C0011,<25,Low,Salaried,Rented,Urban,No,Train
C0012,60+,High,Salaried,Owned,Urban,No,Train
C0013,40-60,High,Retired,Owned,Semi-Urban,No,Train
C0014,25-40,Low,Salaried,Owned,Urban,No,Train
C0015,25-40,Medium,Self-Employed,Rented,Semi-Urban,No,Train
C0016,25-40,High,Salaried,Owned,Urban,No,Train
C0017,25-40,Low,Salaried,Rented,Rural,Yes,Train
C0018,40-60,Medium,Unemployed,Rented,Rural,No,Train
C0019,25-40,High,Salaried,Owned,Urban,No,Train
C0020,25-40,Low,Self-Employed,Rented,Urban,No,Train
C0021,40-60,Medium,Retired,Owned,Urban,No,Train
C0022,25-40,Low,Self-Employed,Rented,Urban,No,Train
C0023,25-40,High,Retired,Rented,Semi-Urban,No,Train
C0024,25-40,High,Salaried,Owned,Rural,No,Train
C0025,25-40,High,Salaried,Owned,Semi-Urban,No,Train
C0026,40-60,Medium,Salaried,Owned,Rural,No,Train
C0027,25-40,High,Unemployed,Family,Urban,No,Train
C0028,40-60,High,Retired,Rented,Urban,Yes,Train
C0029,40-60,Low,Salaried,Rented,Semi-Urban,No,Train
C0030,<25,High,Self-Employed,Rented,Urban,Yes,Train
C0031,40-60,Low,Salaried,Owned,Semi-Urban,No,Train
C0032,25-40,Medium,Self-Employed,Rented,Urban,No,Train
C0033,<25,Low,Self-Employed,Rented,Urban,No,Train
C0034,60+,Low,Retired,Owned,Rural,No,Train
C0035,60+,Low,Self-Employed,Owned,Urban,No,Train
C0036,40-60,Medium,Salaried,Owned,Rural,No,Train
C0037,25-40,Low,Salaried,Rented,Rural,No,Train
C0038,<25,Medium,Salaried,Family,Semi-Urban,No,Train
C0039,40-60,Low,Salaried,Owned,Semi-Urban,No,Train
C0040,25-40,Low,Salaried,Rented,Semi-Urban,No,Train
C0041,25-40,Medium,Unemployed,Owned,Rural,No,Train
C0042,25-40,Medium,Self-Employed,Family,Urban,No,Train
C0043,<25,Low,Self-Employed,Owned,Urban,No,Train
C0044,60+,Medium,Salaried,Rented,Semi-Urban,No,Train
C0045,25-40,High,Unemployed,Rented,Urban,No,Train
C0046,40-60,Medium,Unemployed,Rented,Urban,No,Train
C0047,25-40,Low,Salaried,Rented,Urban,No,Train
C0048,40-60,Low,Unemployed,Owned,Semi-Urban,No,Train
C0049,40-60,High,Self-Employed,Owned,Rural,No,Train
C0050,25-40,Low,Salaried,Owned,Urban,No,Train
C0051,60+,High,Self-Employed,Owned,Rural,No,Train
C0052,40-60,Medium,Self-Employed,Rented,Semi-Urban,No,Train
C0053,60+,High,Salaried,Owned,Rural,No,Train
C0054,60+,Medium,Retired,Owned,Semi-Urban,Yes,Train
C0055,40-60,High,Unemployed,Rented,Semi-Urban,No,Train
C0056,60+,Medium,Self-Employed,Family,Urban,No,Train
C0057,<25,Medium,Self-Employed,Rented,Rural,No,Train
C0058,25-40,Medium,Salaried,Owned,Urban,No,Train
C0059,<25,Medium,Self-Employed,Owned,Rural,No,Train
C0060,25-40,Medium,Self-Employed,Family,Rural,No,Train
C0061,25-40,High,Salaried,Owned,Urban,No,Train
C0062,25-40,High,Self-Employed,Owned,Urban,No,Train
C0063,40-60,Medium,Unemployed,Rented,Semi-Urban,No,Train
C0064,25-40,Medium,Self-Employed,Rented,Urban,No,Train
C0065,25-40,Medium,Salaried,Rented,Rural,No,Train
C0066,40-60,Medium,Unemployed,Owned,Urban,Yes,Train
C0067,25-40,Low,Salaried,Owned,Urban,No,Train
C0068,40-60,Low,Salaried,Family,Rural,No,Train
C0069,<25,Medium,Salaried,Owned,Semi-Urban,No,Train
C0070,60+,Low,Salaried,Rented,Rural,Yes,Train
C0071,40-60,Low,Unemployed,Rented,Urban,No,Train
C0072,25-40,Low,Self-Employed,Rented,Semi-Urban,No,Train
C0073,<25,Low,Salaried,Owned,Semi-Urban,No,Train
C0074,40-60,Low,Unemployed,Owned,Semi-Urban,Yes,Train
C0075,40-60,High,Unemployed,Rented,Semi-Urban,No,Train
C0076,40-60,Medium,Unemployed,Family,Semi-Urban,No,Train
C0077,40-60,Medium,Salaried,Family,Urban,No,Train
C0078,<25,Medium,Self-Employed,Owned,Urban,No,Train
C0079,25-40,Low,Retired,Owned,Semi-Urban,No,Train
C0080,25-40,High,Unemployed,Family,Urban,No,Train
C0081,60+,Medium,Salaried,Rented,Semi-Urban,Yes,Train
C0082,40-60,Low,Salaried,Family,Urban,Yes,Train
C0083,25-40,Medium,Self-Employed,Owned,Semi-Urban,No,Train
