fairness_bucket_id,risk_band,income_band,dpd_band,product_type
F00001,Low,Low,0-60,Credit Card
F00002,High,Medium,180+,Credit Card
F00003,Low,High,0-60,Personal Loan
F00004,Low,Medium,0-60,Credit Card
F00005,Low,Medium,0-60,Credit Card
F00006,Low,Medium,0-60,Telecom
F00007,Medium,High,61-180,Credit Card
F00008,Low,Medium,0-60,Personal Loan
F00009,Medium,High,61-180,Credit Card
F00010,Low,Low,0-60,Personal Loan
F00011,Low,Low,0-60,Credit Card
F00012,Medium,High,61-180,Personal Loan
F00013,Low,Medium,0-60,Personal Loan
F00014,Low,Low,0-60,Credit Card
F00015,High,Low,180+,Credit Card
F00016,Medium,High,61-180,Credit Card
F00017,Low,High,0-60,Credit Card
F00018,High,High,180+,Personal Loan
F00019,High,High,180+,Credit Card
F00020,High,High,180+,Personal Loan
F00021,Medium,High,61-180,Telecom
F00022,Medium,High,61-180,Credit Card
F00023,High,Medium,180+,Personal Loan
F00024,High,Medium,180+,Credit Card
F00025,Low,Medium,0-60,Credit Card
F00026,Low,Medium,0-60,Credit Card
F00027,Low,Low,0-60,Personal Loan
F00028,Low,Medium,0-60,Credit Card
F00029,Low,Low,0-60,Credit Card
F00030,Low,Low,0-60,Personal Loan
F00031,Medium,Low,61-180,Credit Card
F00032,Low,High,0-60,Credit Card
F00033,High,Low,180+,Telecom
F00034,Low,Low,0-60,Telecom
F00035,Medium,Low,61-180,Personal Loan
F00036,Low,High,0-60,Personal Loan
F00037,Low,Medium,0-60,Credit Card
F00038,Medium,Medium,61-180,Credit Card
F00039,Medium,Low,61-180,Credit Card
F00040,Medium,Low,61-180,Credit Card
F00041,Low,Medium,0-60,Personal Loan
F00042,Low,Medium,0-60,Personal Loan
F00043,Low,Medium,0-60,Credit Card
F00044,Medium,Medium,61-180,Credit Card
F00045,High,Low,180+,Credit Card
F00046,Low,Low,0-60,Credit Card
F00047,Low,Low,0-60,Personal Loan
F00048,Medium,Medium,61-180,Personal Loan
F00049,Medium,High,61-180,Personal Loan
F00050,Medium,Medium,61-180,Personal Loan
F00051,Medium,Medium,61-180,Credit Card
F00052,High,High,180+,Personal Loan
F00053,Medium,High,61-180,Credit Card
F00054,Medium,Medium,61-180,Personal Loan
F00055,Medium,High,61-180,Telecom
F00056,Low,High,0-60,Personal Loan
F00057,High,High,180+,Credit Card
F00058,Medium,Medium,61-180,Credit Card
F00059,Medium,Medium,61-180,Telecom
F00060,High,High,180+,Personal Loan
F00061,Medium,Low,61-180,Credit Card
F00062,Low,High,0-60,Credit Card
F00063,Medium,High,61-180,Personal Loan
F00064,Low,Medium,0-60,Credit Card
F00065,Medium,Low,61-180,Credit Card
F00066,Medium,High,61-180,Personal Loan
F00067,Low,Low,0-60,Credit Card
F00068,Medium,Medium,61-180,Telecom
F00069,Low,Low,0-60,Personal Loan
F00070,Medium,Medium,61-180,Credit Card
F00071,Low,High,0-60,Personal Loan
F00072,Medium,Medium,61-180,Personal Loan
F00073,Medium,Low,61-180,Personal Loan
F00074,Medium,Low,61-180,Credit Card
F00075,Medium,Low,61-180,Personal Loan
F00076,High,High,180+,Credit Card
F00077,Low,Low,0-60,Credit Card
F00078,Low,Low,0-60,Credit Card
F00079,Medium,Low,61-180,Credit Card
F00080,Low,Medium,0-60,Telecom
F00081,Medium,Low,61-180,Telecom
F00082,Low,Medium,0-60,Personal Loan
F00083,Low,Low,0-60,Telecom
F00084,Medium,Medium,61-180,Credit Card
F00085,Low,Medium,0-60,Telecom
F00086,Medium,High,61-180,Telecom
F00087,Medium,High,61-180,Credit Card
F00088,Low,Medium,0-60,Personal Loan
F00089,Low,Medium,0-60,Personal Loan
F00090,High,High,180+,Telecom
F00091,Low,Medium,0-60,Credit Card
F00092,Low,High,0-60,Telecom
F00093,Low,High,0-60,Personal Loan
F00094,Medium,Low,61-180,Credit Card
F00095,High,Low,180+,Personal Loan
F00096,High,High,180+,Personal Loan
F00097,Low,High,0-60,Personal Loan
F00098,Low,Medium,0-60,Personal Loan
F00099,Medium,High,61-180,Personal Loan
F00100,Medium,High,61-180,Personal Loan
F00101,Low,Low,0-60,Personal Loan
F00102,Medium,High,61-180,Credit Card
F00103,Low,Medium,0-60,Personal Loan
F00104,Medium,High,61-180,Credit Card
F00105,Medium,Low,61-180,Telecom
F00106,Low,Low,0-60,Telecom
F00107,Medium,Low,61-180,Telecom
F00108,Medium,Low,61-180,Personal Loan
F00109,Low,High,0-60,Credit Card
F00110,High,Medium,180+,Personal Loan
F00111,Low,Medium,0-60,Personal Loan
F00112,Low,Medium,0-60,Credit Card
F00113,High,High,180+,Credit Card
F00114,Medium,High,61-180,Personal Loan
F00115,Medium,High,61-180,Credit Card
F00116,Low,Medium,0-60,Credit Card
F00117,Medium,High,61-180,Credit Card
F00118,Medium,High,61-180,Personal Loan
F00119,Medium,Low,61-180,Credit Card
F00120,Low,Low,0-60,Credit Card
F00121,Medium,Medium,61-180,Personal Loan
F00122,Low,Low,0-60,Personal Loan
F00123,Low,Low,0-60,Credit Card
F00124,Low,Low,0-60,Credit Card
F00125,Medium,High,61-180,Telecom
F00126,Medium,Low,61-180,Credit Card
