offer_id,payment_started_flag,payment_completed_flag,default_stage,time_to_default_days,net_amount_collected,write_off_amount,completion_timestamp
O50001,Yes,Yes,None,0,62190,49980,2026-01-22
O50002,No,No,Early,34,0,464198,
O50003,No,No,Early,39,0,466067,
O50004,Yes,Yes,None,0,113142,81823,2026-03-01
O50005,Yes,Yes,None,0,230735,211799,2026-01-06
O50006,No,No,Early,21,0,339036,
O50007,Yes,No,Mid,49,5839,34137,
O50008,No,No,Early,20,0,39976,
O50009,Yes,No,Mid,80,60307,407026,
O50010,No,No,Early,37,0,467333,
O50011,Yes,No,Mid,52,75335,291528,
O50012,Yes,Yes,None,0,211948,154915,2026-01-04
O50013,No,No,Early,22,0,450964,
O50014,Yes,Yes,None,0,311435,139529,2026-01-30
O50015,Yes,Yes,None,0,54163,67247,2026-01-03
O50016,Yes,Yes,None,0,49409,57706,2026-02-28
O50017,Yes,No,Mid,30,54493,288072,
O50018,No,No,Early,34,0,342565,
O50019,No,No,Early,16,0,195109,
O50020,No,No,Early,23,0,465163,
O50021,Yes,Yes,None,0,27018,40048,2026-01-20
O50022,Yes,Yes,None,0,177832,200126,2026-02-11
O50023,Yes,Yes,None,0,39816,19074,2026-01-12
O50024,No,No,Early,37,0,35365,
O50025,Yes,Yes,None,0,15263,20102,2026-03-30
O50026,Yes,Yes,None,0,8898,6396,2026-02-10
O50027,Yes,Yes,None,0,112566,157231,2026-01-17
O50028,Yes,Yes,None,0,42796,32150,2026-01-08
O50029,Yes,Yes,None,0,50414,24532,2026-02-17
O50030,No,No,Early,33,0,164328,
O50031,No,No,Early,15,0,203644,
O50032,Yes,Yes,None,0,35384,33531,2026-02-01
O50033,Yes,Yes,None,0,32288,36627,2026-01-09
O50034,Yes,Yes,None,0,81133,61908,2026-01-07
O50035,No,No,Early,27,0,94971,
O50036,No,No,Early,33,0,333555,
O50037,No,No,Early,41,0,333555,
O50038,No,No,Early,32,0,388403,
O50039,Yes,Yes,None,0,212371,176032,2026-03-03
O50040,No,No,Early,26,0,220671,
O50041,No,No,Early,15,0,183751,
O50042,No,No,Early,34,0,36577,
O50043,No,No,Early,22,0,430517,
O50044,Yes,Yes,None,0,157957,231738,2026-02-01
O50045,Yes,Yes,None,0,212339,177356,2026-03-06
O50046,Yes,Yes,None,0,170879,90592,2026-03-28
O50047,No,No,Early,36,0,169099,
O50048,No,No,Early,40,0,169099,
O50049,No,No,Early,21,0,145466,
O50050,No,No,Early,21,0,145466,
O50051,Yes,Yes,None,0,62206,51067,2026-03-19
O50052,No,No,Early,38,0,113273,
O50053,No,No,Early,22,0,383987,
O50054,Yes,No,Mid,83,115065,268922,
O50055,No,No,Early,23,0,115128,
O50056,Yes,Yes,None,0,51010,64118,2026-01-04
O50057,Yes,Yes,None,0,254132,170532,2026-02-08
O50058,Yes,No,Mid,39,106321,318343,
O50059,Yes,Yes,None,0,125807,143833,2026-01-06
O50060,No,No,Early,25,0,95771,
O50061,No,No,Early,43,0,95771,
O50062,Yes,Yes,None,0,97890,84668,2026-01-08
O50063,No,No,Early,29,0,182558,
O50064,Yes,Yes,None,0,144123,98844,2026-01-06
O50065,Yes,Yes,None,0,220645,137686,2026-01-05
O50066,No,No,Early,30,0,358331,
O50067,Yes,Yes,None,0,118614,78288,2026-03-15
O50068,Yes,No,Mid,66,25367,171535,
O50069,No,No,Early,24,0,73008,
O50070,Yes,Yes,None,0,42155,30853,2026-02-16
O50071,Yes,Yes,None,0,189738,144848,2026-03-23
O50072,Yes,No,Mid,52,43161,201606,
O50073,Yes,Yes,None,0,134670,78469,2026-02-22
O50074,Yes,Yes,None,0,39862,28551,2026-03-16
O50075,Yes,Yes,None,0,142648,120847,2026-02-20
O50076,Yes,No,Mid,52,49737,213758,
O50077,No,No,Early,23,0,133724,
