offer_id,account_id,offer_sequence_number,ai_recommended_offer_percent,actual_agent_offer_percent,offer_type,offer_percent,installment_months,emi_percent_of_income,offer_channel,offer_timestamp,response_timestamp,days_between_offer_and_response,ai_confidence_score,human_override_flag,override_reason_code,customer_response,considered_offer_percents
O50001,A10001,1,65,65,Installment,65,3,8,Email,2026-01-22,2026-02-02,11,0.76,No,NONE,Accepted,"[70, 65, 60]"
O50002,A10002,1,35,35,Lump-Sum,35,0,21,Email,2026-03-03,2026-03-17,14,0.68,No,NONE,No Response,"[40, 35, 30]"
O50003,A10003,1,69,69,Installment,69,9,9,SMS,2026-01-21,2026-01-29,8,0.89,No,NONE,Rejected,"[74, 69, 64]"
O50004,A10004,1,66,66,Installment,66,3,15,Email,2026-03-01,2026-03-07,6,0.61,No,NONE,Accepted,"[71, 66, 61]"
O50005,A10005,1,68,68,Installment,68,6,20,Email,2026-01-06,2026-01-15,9,0.84,No,NONE,Accepted,"[73, 68, 63]"
O50006,A10006,1,68,68,Installment,68,6,14,SMS,2026-02-17,2026-03-03,14,0.89,No,NONE,Rejected,"[73, 68, 63]"
O50007,A10007,1,59,59,Installment,59,3,20,Email,2026-01-26,2026-02-07,12,0.61,No,NONE,Accepted,"[64, 59, 54]"
O50008,A10007,2,53,53,Installment,53,9,8,Email,2026-01-08,2026-01-18,10,0.83,No,NONE,Rejected,"[58, 53, 48]"
O50009,A10008,1,73,73,Installment,73,6,8,Email,2026-03-14,2026-03-21,7,0.66,No,NONE,Accepted,"[78, 73, 68]"
O50010,A10008,2,67,67,Installment,67,3,10,SMS,2026-03-27,2026-03-29,2,0.89,No,NONE,Rejected,"[72, 67, 62]"
O50011,A10009,1,58,58,Installment,58,9,17,Call,2026-01-09,2026-01-23,14,0.7,No,NONE,Accepted,"[63, 58, 53]"
O50012,A10009,2,51,51,Installment,51,9,14,SMS,2026-01-04,2026-01-08,4,0.74,No,NONE,Accepted,"[56, 51, 46]"
